,,,Bilingual,,SpED,,Free/Reduced Lunch,
School Year,School ID,Total,N,%,N,%,N,%
2017,610212,277,56,20.22%,42,15.16%,264,95.31%
2017,610209,921,522,56.68%,99,10.75%,842,91.42%
2017,609836,849,159,18.73%,104,12.25%,404,47.59%
2017,609729,"1,812",320,17.66%,336,18.54%,"1,649",91.00%
2017,610083,173,66,38.15%,114,65.90%,95,54.91%
2017,610564,730,11,1.51%,77,10.55%,432,59.18%
2017,610515,428,60,14.02%,36,8.41%,108,25.23%
2017,610523,564,47,8.33%,91,16.13%,102,18.09%
2017,610137,705,200,28.37%,85,12.06%,463,65.67%
2017,609874,884,440,49.77%,102,11.54%,585,66.18%
2017,610163,239,27,11.30%,104,43.51%,39,16.32%
2017,609737,"1,737",29,1.67%,98,5.64%,"1,302",74.96%
2017,609857,615,232,37.72%,157,25.53%,524,85.20%
2017,610182,360,114,31.67%,82,22.78%,199,55.28%
2017,609972,957,614,64.16%,119,12.43%,847,88.51%
2017,609798,559,133,23.79%,56,10.02%,362,64.76%
2017,609766,206,70,33.98%,206,100.00%,157,76.21%
2017,609912,638,213,33.39%,171,26.80%,399,62.54%
2017,609796,"1,101",198,17.98%,111,10.08%,540,49.05%
2017,610089,561,162,28.88%,88,15.69%,442,78.79%
2017,610111,833,282,33.85%,104,12.48%,636,76.35%
2017,609937,790,174,22.03%,97,12.28%,318,40.25%
2017,610159,800,327,40.88%,89,11.13%,723,90.38%
2017,610127,879,292,33.22%,109,12.40%,629,71.56%
2017,609792,"1,061",376,35.44%,132,12.44%,900,84.83%
2017,609810,"1,105",301,27.24%,115,10.41%,722,65.34%
2017,610354,327,169,51.68%,74,22.63%,268,81.96%
2017,609749,"1,069",6,0.56%,63,5.89%,441,41.25%
2017,609744,228,66,28.95%,228,100.00%,185,81.14%
2017,610099,411,20,4.87%,62,15.09%,73,17.76%
2017,610201,840,78,9.29%,91,10.83%,379,45.12%
2017,610105,733,74,10.10%,82,11.19%,158,21.56%
2017,609988,548,294,53.65%,70,12.77%,473,86.31%
2017,610145,852,305,35.80%,174,20.42%,647,75.94%
2017,610135,933,135,14.47%,122,13.08%,713,76.42%
2017,609995,593,140,23.61%,82,13.83%,325,54.81%
2017,610155,583,98,16.81%,56,9.61%,161,27.62%
2017,609728,"1,198",312,26.04%,244,20.37%,"1,094",91.32%
2017,609794,275,2,0.73%,12,4.36%,28,10.18%
2017,610230,487,36,7.39%,59,12.11%,67,13.76%
2017,609884,788,208,26.40%,88,11.17%,459,58.25%
2017,609994,"1,048",531,50.67%,129,12.31%,980,93.51%
2017,609734,"3,289",196,5.96%,402,12.22%,"1,747",53.12%
2017,610104,639,67,10.49%,87,13.62%,220,34.43%
2017,609949,"1,228",329,26.79%,162,13.19%,"1,044",85.02%
2017,609804,830,403,48.55%,97,11.69%,717,86.39%
2017,609859,"1,173",552,47.06%,82,6.99%,945,80.56%
2017,609852,606,143,23.60%,104,17.16%,391,64.52%
2017,609918,199,56,28.14%,32,16.08%,185,92.96%
2017,609779,"1,433",472,32.94%,140,9.77%,"1,291",90.09%
2017,610196,686,312,45.48%,97,14.14%,495,72.16%
2017,610122,"1,028",187,18.19%,97,9.44%,650,63.23%
2017,610070,737,190,25.78%,187,25.37%,623,84.53%
2017,609866,948,57,6.01%,109,11.50%,209,22.05%
2017,610269,421,147,34.92%,107,25.42%,360,85.51%
2017,609865,508,221,43.50%,78,15.35%,435,85.63%
2017,610242,398,140,35.18%,84,21.11%,319,80.15%
2017,610022,793,426,53.72%,166,20.93%,655,82.60%
