State Test English Language Arts (ELA) Results 2015 to 2017,,,,,,ELA Overall Performance Levels,,,,,,,,Reading Literary Text Subscores,,,,Reading Information Subscores,,,,Vocabulary Subscores,,,,,Writing Expression Subscores,,,,Writing Conventions Subscores,,
School ID,Year,Test Name,# Students Tested,,Overall ELA Mean Scale Score,% Did Not Meet,% Partially Met,% Approached,% Met,% Exceeded,% Met or Exceeded,Reading Mean Scale Score,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded,Writing Mean Scale Score,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded
400009,2017,Combined ELA Grades 3-8,179,, ,19.0%,31.3%,22.9%,26.3%,0.6%,26.8%, ,,51.4%,20.7%,27.9%,,47.5%,22.9%,29.6%,,48.6%,22.3%,29.1%, ,,53.1%,25.1%,21.8%,,47.5%,27.4%,25.1%
400011,2017,Combined ELA Grades 3-8,297,, ,7.7%,12.1%,38.0%,38.4%,3.7%,42.1%, ,,27.3%,28.3%,44.4%,,28.6%,30.3%,41.1%,,33.3%,24.9%,41.8%, ,,28.6%,24.6%,46.8%,,26.9%,25.9%,47.1%
400017,2017,Combined ELA Grades 3-8,524,, ,35.9%,28.2%,24.0%,10.9%,1.0%,11.8%, ,,63.0%,22.3%,14.7%,,64.3%,22.9%,12.8%,,64.7%,18.5%,16.8%, ,,67.9%,16.6%,15.5%,,66.4%,18.9%,14.7%
400021,2017,Combined ELA Grades 3-8,330,, ,27.9%,27.0%,28.2%,15.8%,1.2%,17.0%, ,,56.1%,22.1%,21.8%,,57.6%,23.6%,18.8%,,53.9%,24.2%,21.8%, ,,65.5%,17.0%,17.6%,,60.3%,18.8%,20.9%
400023,2017,Combined ELA Grades 3-8,268,, ,9.3%,21.6%,32.1%,33.2%,3.7%,36.9%, ,,38.8%,26.5%,34.7%,,40.7%,26.1%,33.2%,,39.9%,29.1%,31.0%, ,,34.0%,19.8%,46.3%,,28.4%,25.0%,46.6%
400024,2017,Combined ELA Grades 3-8,456,, ,14.5%,21.1%,34.0%,29.6%,0.9%,30.5%, ,,45.4%,26.8%,27.9%,,47.6%,23.9%,28.5%,,45.4%,25.7%,28.9%, ,,37.5%,23.9%,38.6%,,32.2%,28.1%,39.7%
400025,2017,Combined ELA Grades 3-8,443,,,21.0%,28.9%,28.9%,19.6%,1.6%,21.2%, ,,51.2%,26.2%,22.6%,,53.0%,26.4%,20.5%,,53.5%,23.0%,23.5%, ,,55.5%,22.3%,22.1%,,46.7%,23.7%,29.6%
400027,2017,Combined ELA Grades 3-8,360,, ,11.7%,18.9%,30.0%,35.0%,4.4%,39.4%, ,,36.1%,24.4%,39.4%,,35.3%,25.3%,39.4%,,38.1%,21.7%,40.3%, ,,36.9%,20.8%,42.2%,,30.6%,24.2%,45.3%
400028,2017,Combined ELA Grades 3-8,249,, ,23.7%,27.3%,30.5%,16.9%,1.6%,18.5%, ,,53.4%,26.5%,20.1%,,54.6%,25.7%,19.7%,,54.6%,25.7%,19.7%, ,,58.2%,18.9%,22.9%,,45.4%,26.9%,27.7%
400029,2017,Combined ELA Grades 3-8,277,, ,16.6%,22.7%,31.8%,27.1%,1.8%,28.9%, ,,46.2%,22.4%,31.4%,,48.4%,24.9%,26.7%,,40.1%,30.7%,29.2%, ,,47.3%,22.0%,30.7%,,40.1%,26.7%,33.2%
400030,2017,Combined ELA Grades 3-8,348,, ,16.7%,24.4%,29.0%,26.1%,3.7%,29.9%, ,,43.7%,24.1%,32.2%,,42.2%,25.9%,31.9%,,41.1%,25.6%,33.3%, ,,46.0%,24.7%,29.3%,,39.7%,26.4%,33.9%
